transaction_id,date,store_location,customer_id,product_name,category,quantity,unit_price,total_amount,status,payment_method,clubcard_member
TXN10709,2023-01-01,Stevenage,CUST0115,Free Range Eggs 6pk,Grocery,1,1.88,1.88,Fulfilled,Contactless,No
TXN12782,2023-01-01,Luton,CUST0372,Orange Squash 750ml,Drinks,2,1.3,2.6,Fulfilled,Contactless,Yes
TXN15445,2023-01-01,St Albans,CUST1737,Ice Cream Vanilla 2L,Frozen,1,3.49,3.49,Fulfilled,Card,No
TXN6198,2023-01-01,St Albans,CUST1558,Rice 1kg,Grocery,3,1.36,4.08,Fulfilled,Clubcard Pay+,Yes
TXN6117,2023-01-01,St Albans,CUST0737,Free Range Eggs 6pk,Grocery,1,1.86,1.86,Fulfilled,Card,No
TXN6073,2023-01-01,Welwyn Garden City,CUST2754,Dishwasher Tablets 30pk,Household,2,6.82,13.64,Fulfilled,Card,No
TXN6029,2023-01-01,Welwyn Garden City,CUST0153,Carrots 1kg,Fresh Produce,1,0.67,0.67,Fulfilled,Clubcard Pay+,Yes
TXN15018,2023-01-01,Hertford,CUST0245,All-Purpose Cleaner 750ml,Household,2,1.93,3.86,Fulfilled,Contactless,No
TXN14507,2023-01-01,Watford,CUST2713,Orange Juice 1L,Grocery,3,1.47,4.41,Fulfilled,Clubcard Pay+,No
TXN11449,2023-01-01,Hertford,CUST0814,Chicken Breast 500g,Meat & Fish,2,3.46,6.92,Fulfilled,Card,No
TXN10096,2023-01-01,Hatfield,CUST1141,Deodorant 150ml,Health & Beauty,4,2.28,9.12,Fulfilled,Contactless,No
TXN1092,2023-01-01,Watford,CUST2042,Frozen Berries 500g,Frozen,2,2.25,4.5,Fulfilled,Card,No
TXN8156,2023-01-01,Stevenage,CUST1932,Baked Beans 4pk,Grocery,2,1.29,2.58,Fulfilled,Card,Yes
TXN2305,2023-01-01,Hemel Hempstead,CUST1933,Bananas Bunch,Fresh Produce,1,0.69,0.69,Fulfilled,Contactless,Yes
TXN5772,2023-01-01,Hatfield,CUST2799,Frozen Berries 500g,Frozen,4,2.27,9.08,Fulfilled,Contactless,Yes
TXN4711,2023-01-01,Luton,CUST2534,Baby Spinach 200g,Fresh Produce,3,1.28,3.84,Fulfilled,Contactless,Yes
TXN10979,2023-01-01,Luton,CUST1263,Pasta 500g,Grocery,1,0.88,0.88,Fulfilled,Clubcard Pay+,No
TXN14154,2023-01-01,Hatfield,CUST0008,Pasta 500g,Grocery,1,0.89,0.89,Fulfilled,Contactless,No
